INFO     | CDX > Generating SBOM ...
INFO     | CDX.EnvironmentBB > discovering distributions...
INFO     | CDX.EnvironmentBB > add component for package 'aksara-framework'
INFO     | CDX.EnvironmentBB > add component for package 'httpcore2'
INFO     | CDX.EnvironmentBB > add component for package 'rpds-py'
INFO     | CDX.EnvironmentBB > add component for package 'click'
INFO     | CDX.EnvironmentBB > add component for package 'fastapi'
INFO     | CDX.EnvironmentBB > add component for package 'sse-starlette'
INFO     | CDX.EnvironmentBB > add component for package 'packaging'
INFO     | CDX.EnvironmentBB > add component for package 'iniconfig'
INFO     | CDX.EnvironmentBB > add component for package 'Pygments'
INFO     | CDX.EnvironmentBB > add component for package 'httpx2'
INFO     | CDX.EnvironmentBB > add component for package 'jsonschema-specifications'
INFO     | CDX.EnvironmentBB > add component for package 'rich'
INFO     | CDX.EnvironmentBB > add component for package 'mcp-types'
INFO     | CDX.EnvironmentBB > add component for package 'jsonschema'
INFO     | CDX.EnvironmentBB > add component for package 'asyncpg'
INFO     | CDX.EnvironmentBB > add component for package 'pydantic_core'
INFO     | CDX.EnvironmentBB > add component for package 'pytest-asyncio'
INFO     | CDX.EnvironmentBB > add component for package 'httpcore'
INFO     | CDX.EnvironmentBB > add component for package 'starlette'
INFO     | CDX.EnvironmentBB > add component for package 'pytest'
INFO     | CDX.EnvironmentBB > add component for package 'h11'
INFO     | CDX.EnvironmentBB > add component for package 'pydantic'
INFO     | CDX.EnvironmentBB > add component for package 'pycparser'
INFO     | CDX.EnvironmentBB > add component for package 'mdurl'
INFO     | CDX.EnvironmentBB > add component for package 'python-multipart'
INFO     | CDX.EnvironmentBB > add component for package 'aiosmtplib'
INFO     | CDX.EnvironmentBB > add component for package 'PyYAML'
INFO     | CDX.EnvironmentBB > add component for package 'sortedcontainers'
INFO     | CDX.EnvironmentBB > add component for package 'idna'
INFO     | CDX.EnvironmentBB > add component for package 'cffi'
INFO     | CDX.EnvironmentBB > add component for package 'bcrypt'
INFO     | CDX.EnvironmentBB > add component for package 'certifi'
INFO     | CDX.EnvironmentBB > add component for package 'opentelemetry-api'
INFO     | CDX.EnvironmentBB > add component for package 'PyJWT'
INFO     | CDX.EnvironmentBB > add component for package 'Jinja2'
INFO     | CDX.EnvironmentBB > add component for package 'annotated-types'
INFO     | CDX.EnvironmentBB > add component for package 'referencing'
INFO     | CDX.EnvironmentBB > add component for package 'markdown-it-py'
INFO     | CDX.EnvironmentBB > add component for package 'annotated-doc'
INFO     | CDX.EnvironmentBB > add component for package 'MarkupSafe'
INFO     | CDX.EnvironmentBB > add component for package 'cryptography'
INFO     | CDX.EnvironmentBB > add component for package 'typing-inspection'
INFO     | CDX.EnvironmentBB > add component for package 'pluggy'
INFO     | CDX.EnvironmentBB > add component for package 'attrs'
INFO     | CDX.EnvironmentBB > add component for package 'python-dotenv'
INFO     | CDX.EnvironmentBB > add component for package 'httpx'
INFO     | CDX.EnvironmentBB > add component for package 'typing_extensions'
INFO     | CDX.EnvironmentBB > add component for package 'mcp'
INFO     | CDX.EnvironmentBB > add component for package 'truststore'
INFO     | CDX.EnvironmentBB > add component for package 'uvicorn'
INFO     | CDX.EnvironmentBB > add component for package 'pillow'
INFO     | CDX.EnvironmentBB > add component for package 'anyio'
INFO     | CDX.EnvironmentBB > add component for package 'hypothesis'
INFO     | CDX > Serializing SBOM: 1.6/JSON
INFO     | CDX > Validating result to spec: 1.6/JSON
INFO     | CDX > Writing to: audit-evidence/v072/sbom.json
